oa_code,la_code,gap,gap_per_km2,avg_rental_price,avg_buying_price
E00054865,E08000033,15.847335243905919,74.74156555485423,485,163201
E00054866,E08000033,29.977647805848548,48.01746878634964,1255,199121
E00054867,E08000033,4.962903902514413,113.40233126061959,1543,155677
E00054869,E08000033,7.18790330959696,0.4839931830947455,583,107018
E00054870,E08000033,26.799744063068033,202.85237151705357,641,156567
E00054871,E08000033,92.39384411804646,162.55405510144428,569,238955
E00054872,E08000033,3.662154019281388,9.484764059296776,773,177002
E00054873,E08000033,5.290871777387944,12.051652886882819,380,163683
E00054874,E08000033,36.460368400470536,214.6230693452698,1084,137072
E00054875,E08000033,0.2749489862960255,5.53378763411431,368,101674
E00054877,E08000033,5.456246806846525,1.6638663979234727,423,178063
E00054878,E08000033,9.665674728575876,21.95386493821822,768,76575
E00054879,E08000033,3.063105406117689,37.490054289369084,574,160872
E00054880,E08000033,12.82904810573234,36.5753761275171,459,300986
E00054999,E08000033,17.29879138339652,398.4241421943853,585,170119
E00055002,E08000033,18.558199794119677,22.13028943263334,928,250714
E00055003,E08000033,55.91678119672448,1079.4358217635056,387,214279
E00055004,E08000033,10.801549804952236,36.919068824049994,617,199979
E00055006,E08000033,4.778881771200952,47.25329471214161,859,119065
E00055010,E08000033,1.6501674079329127,1.332945303735222,644,149123
E00055011,E08000033,2.7856755564219595,0.5030620244529345,528,219779
E00055012,E08000033,38.023654713297546,389.31577399803825,509,139934
E00055013,E08000033,17.17765488194239,471.2267404079181,507,113971
E00055014,E08000033,2.035275536202964,37.55491589630216,362,161034
E00055015,E08000033,4.639825903356943,87.26713059451637,850,173554
E00055016,E08000033,0.570042865200485,13.98488377912117,235,177174
E00055017,E08000033,0.11129222684704342,2.3223070785861757,790,232743
E00055018,E08000033,3.8480665304572144,82.15168814255615,920,181326
E00055019,E08000033,16.72395068610821,167.8768671968354,456,110216
E00055020,E08000033,4.767169684200348,92.87898638653542,682,74621
E00055021,E08000033,4.949295179779705,118.87585867072434,756,262409
E00055022,E08000033,6.808924684617457,142.52760663000407,467,194463
E00055023,E08000033,16.161278102217576,58.20746646054723,687,71439
E00055024,E08000033,-0.021227354730019965,-0.41616491837131375,1044,82658
E00055025,E08000033,12.394729453726947,478.6901736066733,426,67298
E00055026,E08000033,8.252170378813972,24.714436173971524,1601,195882
E00055027,E08000033,77.92356064118238,931.8321569582783,546,91047
E00055028,E08000033,4.692514449945003,62.57150827526852,927,183354
E00055029,E08000033,2.463824316866221,64.96188969369975,1148,57030
E00055069,E08000033,90.13843809960778,249.10200001064837,1166,184967
E00055073,E08000033,0.8743408228865284,10.110693847863166,369,134981
E00055074,E08000033,36.697492395328595,677.3079675454045,666,85977
E00055096,E08000033,0.24692323228735558,0.075034803344676,624,114766
E00055097,E08000033,0.23778462151779,0.5111512420599037,848,202927
E00055098,E08000033,2.4862210874158404,21.52486673771409,960,250186
E00055099,E08000033,21.97632827485289,207.48098558046988,1076,128370
E00055100,E08000033,0.20539452426731064,3.4125419904019183,538,97666
E00055101,E08000033,0.6206741901245401,12.958723632226814,464,237682
E00055102,E08000033,4.043166996636346,69.20658904691723,835,122340
E00055142,E08000033,2.854384412142707,16.051175433642243,459,114886
E00055144,E08000033,11.872269463371982,290.6973578014732,444,145887
E00055145,E08000033,2.209509196965776,40.414358606822894,802,139017
E00055147,E08000033,0.7302281266477033,17.703917402480023,735,78631
E00055148,E08000033,48.76042024186113,1435.850933473754,562,224854
E00055149,E08000033,17.953510142077143,416.63010957805386,523,196166
E00055152,E08000033,103.78610452310326,891.0970313894834,842,152909
E00055154,E08000033,11.377170789623257,446.8383815360164,678,143656
E00055155,E08000033,9.251013061385668,308.00111573459117,524,123978
E00055158,E08000033,4.3339854815376615,86.40896237110854,1289,176818
