la_code,la_name,oa_code,gap,tightness,gap_per_km2,gap_perkm_rank_nat,tightness_rank_nat
E08000033,Calderdale,E00054865,15.847335243905919,5.393845922346852,74.74156555485423,64,31
E08000033,Calderdale,E00054866,29.977647805848548,5.2228132299062064,48.01746878634964,74,34
E08000033,Calderdale,E00054867,4.962903902514413,2.222325770604557,113.40233126061959,54,107
E08000033,Calderdale,E00054869,7.18790330959696,5.836149340458329,0.4839931830947455,122,24
E08000033,Calderdale,E00054870,26.799744063068033,3.4859241255495386,202.85237151705357,40,69
E08000033,Calderdale,E00054871,92.39384411804646,7.179376346025599,162.55405510144428,43,15
E08000033,Calderdale,E00054872,3.662154019281388,3.22961806145778,9.484764059296776,108,80
E08000033,Calderdale,E00054873,5.290871777387944,3.689748252482848,12.051652886882819,105,62
E08000033,Calderdale,E00054874,36.460368400470536,5.340401976633476,214.6230693452698,38,32
E08000033,Calderdale,E00054875,0.2749489862960255,1.2372956149352003,5.53378763411431,110,122
E08000033,Calderdale,E00054877,5.456246806846525,3.906640877834428,1.6638663979234727,117,59
E08000033,Calderdale,E00054878,9.665674728575876,4.456784505592606,21.95386493821822,97,42
E08000033,Calderdale,E00054879,3.063105406117689,1.8438219816269203,37.490054289369084,82,114
E08000033,Calderdale,E00054880,12.82904810573234,2.6093878723347417,36.5753761275171,85,97
E08000033,Calderdale,E00054999,17.29879138339652,2.881679666984031,398.4241421943853,23,91
E08000033,Calderdale,E00055002,18.558199794119677,6.346186326320694,22.13028943263334,96,18
E08000033,Calderdale,E00055003,55.91678119672448,7.468290485091064,1079.4358217635056,7,11
E08000033,Calderdale,E00055004,10.801549804952236,3.340524470700213,36.919068824049994,83,77
E08000033,Calderdale,E00055006,4.778881771200952,2.8607975346055046,47.25329471214161,75,93
E08000033,Calderdale,E00055010,1.6501674079329127,2.5058358063866333,1.332945303735222,118,99
E08000033,Calderdale,E00055011,2.7856755564219595,4.350351568738656,0.5030620244529345,121,44
E08000033,Calderdale,E00055012,38.023654713297546,5.1861348434085714,389.31577399803825,24,35
E08000033,Calderdale,E00055013,17.17765488194239,3.4992486891052748,471.2267404079181,17,68
E08000033,Calderdale,E00055014,2.035275536202964,5.665897527374883,37.55491589630216,81,28
E08000033,Calderdale,E00055015,4.639825903356943,1.816190016449154,87.26713059451637,58,115
E08000033,Calderdale,E00055016,0.570042865200485,1.980342306926716,13.98488377912117,103,112
E08000033,Calderdale,E00055017,0.11129222684704342,4.102742242341714,2.3223070785861757,113,54
E08000033,Calderdale,E00055018,3.8480665304572144,5.77126087696068,82.15168814255615,60,26
E08000033,Calderdale,E00055019,16.72395068610821,3.9503846606029316,167.8768671968354,41,57
E08000033,Calderdale,E00055020,4.767169684200348,4.842958717621592,92.87898638653542,57,37
E08000033,Calderdale,E00055021,4.949295179779705,2.129819471294942,118.87585867072434,51,110
E08000033,Calderdale,E00055022,6.808924684617457,2.576426882302949,142.52760663000407,49,98
E08000033,Calderdale,E00055023,16.161278102217576,8.512120289819695,58.20746646054723,72,6
E08000033,Calderdale,E00055024,-0.021227354730019965,0.9295977090432919,-0.41616491837131375,126,126
E08000033,Calderdale,E00055025,12.394729453726947,7.182357913703033,478.6901736066733,16,14
E08000033,Calderdale,E00055026,8.252170378813972,3.9312547990153224,24.714436173971524,91,58
E08000033,Calderdale,E00055027,77.92356064118238,1.8975733760374154,931.8321569582783,8,113
E08000033,Calderdale,E00055028,4.692514449945003,4.810554892029244,62.57150827526852,69,38
E08000033,Calderdale,E00055029,2.463824316866221,3.3987077778614934,64.96188969369975,68,74
E08000033,Calderdale,E00055069,90.13843809960778,3.357720692170563,249.10200001064837,35,75
E08000033,Calderdale,E00055073,0.8743408228865284,3.1941276763224637,10.110693847863166,107,81
E08000033,Calderdale,E00055074,36.697492395328595,9.597525101668843,677.3079675454045,13,4
E08000033,Calderdale,E00055096,0.24692323228735558,1.145416272182555,0.075034803344676,124,123
E08000033,Calderdale,E00055097,0.23778462151779,1.2931181387134765,0.5111512420599037,120,121
E08000033,Calderdale,E00055098,2.4862210874158404,2.273286062488646,21.52486673771409,98,106
E08000033,Calderdale,E00055099,21.97632827485289,9.422615823401078,207.48098558046988,39,5
E08000033,Calderdale,E00055100,0.20539452426731064,3.3412975077019103,3.4125419904019183,112,76
E08000033,Calderdale,E00055101,0.6206741901245401,4.433162507398196,12.958723632226814,104,43
E08000033,Calderdale,E00055102,4.043166996636346,3.6116648819360835,69.20658904691723,66,65
E08000033,Calderdale,E00055142,2.854384412142707,4.278560876147971,16.051175433642243,101,46
E08000033,Calderdale,E00055144,11.872269463371982,3.0225149775342657,290.6973578014732,27,88
E08000033,Calderdale,E00055145,2.209509196965776,2.6184474178168173,40.414358606822894,80,96
E08000033,Calderdale,E00055147,0.7302281266477033,1.6727263851758671,17.703917402480023,100,117
E08000033,Calderdale,E00055148,48.76042024186113,2.692138443370582,1435.850933473754,2,94
E08000033,Calderdale,E00055149,17.953510142077143,1.531647772542934,416.63010957805386,20,119
E08000033,Calderdale,E00055152,103.78610452310326,3.011503018807607,891.0970313894834,9,89
E08000033,Calderdale,E00055154,11.377170789623257,4.938929942514317,446.8383815360164,18,36
E08000033,Calderdale,E00055155,9.251013061385668,3.1647872162053616,308.00111573459117,26,83
