uprn,siteid
10000007209,demo-land-002238
10000007216,demo-land-002241
10000007217,demo-land-002241
10000007218,demo-land-002241
10000007224,demo-land-002244
10000007225,demo-land-002244
10000007226,demo-land-002244
10000007229,demo-land-002247
10000007242,demo-land-002250
10000007243,demo-land-002250
10000007244,demo-land-002250
10000007249,demo-land-002253
10000007250,demo-land-002253
10000007255,demo-land-002256
10000007256,demo-land-002256
10000007257,demo-land-002256
10000007262,demo-land-002259
10000007263,demo-land-002259
10000007264,demo-land-002259
10000007268,demo-land-002262
10000007269,demo-land-002262
10000007270,demo-land-002262
10000007277,demo-land-002265
10000007278,demo-land-002265
