uprn,siteid
10000007210,demo-land-002239
10000007211,demo-land-002239
10000007212,demo-land-002239
10000007219,demo-land-002242
10000007220,demo-land-002242
10000007221,demo-land-002242
10000007227,demo-land-002245
10000007230,demo-land-002248
10000007231,demo-land-002248
10000007232,demo-land-002248
10000007233,demo-land-002248
10000007234,demo-land-002248
10000007235,demo-land-002248
10000007236,demo-land-002248
10000007237,demo-land-002248
10000007238,demo-land-002248
10000007239,demo-land-002248
10000007240,demo-land-002248
10000007245,demo-land-002251
10000007251,demo-land-002254
10000007252,demo-land-002254
10000007253,demo-land-002254
10000007258,demo-land-002257
10000007259,demo-land-002257
10000007260,demo-land-002257
10000007265,demo-land-002260
10000007271,demo-land-002263
10000007272,demo-land-002263
10000007273,demo-land-002263
10000007279,demo-land-002266
10000007280,demo-land-002266
