"{DEMO0636-AB61-CD63-CD49-000000000001}",142900,"2019-01-01 00:00","HX2 4WB","D","N","F","35","","DEMO STREET","","HALIFAX","CALDERDALE","WEST YORKSHIRE","A","A"
"{DEMO035D-50F2-73F8-8118-000000000002}",165200,"2019-01-02 00:00","HX1 9HY","S","N","F","74","","DEMO STREET","","HALIFAX","CALDERDALE","WEST YORKSHIRE","A","A"
"{DEMO47B9-7624-3D8D-119E-000000000003}",252300,"2019-01-03 00:00","HX6 8XU","S","N","F","11","","DEMO STREET","","HALIFAX","CALDERDALE","WEST YORKSHIRE","A","A"
"{DEMO6A98-C2DC-B7AC-CC74-000000000004}",69400,"2019-01-03 00:00","HX4 8PH","D","N","F","36","","DEMO STREET","","HALIFAX","CALDERDALE","WEST YORKSHIRE","A","A"
"{DEMO3DBF-803E-B8F3-17B5-000000000005}",61600,"2019-01-04 00:00","HX1 3NE","F","N","L","24","","DEMO STREET","","HALIFAX","CALDERDALE","WEST YORKSHIRE","A","A"
"{DEMOE86D-3B0F-C37D-CA6E-000000000006}",227800,"2019-01-04 00:00","HX6 6AH","S","Y","F","17","","DEMO STREET","","HALIFAX","CALDERDALE","WEST YORKSHIRE","A","A"
"{DEMO6260-3455-93B6-C45F-000000000007}",133400,"2019-01-05 00:00","HX4 2UT","S","N","F","92","","DEMO STREET","","HALIFAX","CALDERDALE","WEST YORKSHIRE","A","A"
"{DEMO6F22-D3BA-0D67-16D5-000000000008}",104200,"2019-01-05 00:00","HX6 7JN","D","N","F","110","","DEMO STREET","","HALIFAX","CALDERDALE","WEST YORKSHIRE","A","A"
"{DEMO4D89-77F5-9F53-32B5-000000000009}",103800,"2019-01-05 00:00","HX2 7QQ","F","N","L","87","","DEMO STREET","","HALIFAX","CALDERDALE","WEST YORKSHIRE","A","A"
"{DEMO3579-791F-A2B6-6D61-00000000000A}",91900,"2019-01-06 00:00","HX2 4FU","D","N","F","67","","DEMO STREET","","HALIFAX","CALDERDALE","WEST YORKSHIRE","A","A"
"{DEMO51BC-04D7-2D55-676C-00000000000B}",241600,"2019-01-07 00:00","HX3 4FW","S","N","F","60","","DEMO STREET","","HALIFAX","CALDERDALE","WEST YORKSHIRE","A","A"
"{DEMO8131-BACF-7D8E-AFE6-00000000000C}",107100,"2019-01-07 00:00","HX4 9YW","S","N","F","71","","DEMO STREET","","HALIFAX","CALDERDALE","WEST YORKSHIRE","A","A"
"{DEMO7934-85FA-D9D3-42FA-00000000000D}",56500,"2019-01-08 00:00","HX3 3AG","D","N","F","10","","DEMO STREET","","HALIFAX","CALDERDALE","WEST YORKSHIRE","A","A"
